"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: shouldMeasureMemory"
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL","thrpt",1,5,4.695884,0.344902,"ops/s",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL","thrpt",1,5,1.957561,0.197408,"ops/s",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL","thrpt",1,5,1.310761,0.119235,"ops/s",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL","thrpt",1,5,1.085059,0.129231,"ops/s",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL","thrpt",1,5,0.849594,0.068730,"ops/s",259778,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",259778,false
