"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: shouldMeasureMemory"
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,1,3.833774,NaN,"ops/s",50000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,1,23371744.000000,NaN,"#",50000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,1,2.092505,NaN,"ops/s",100000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,1,46181872.000000,NaN,"#",100000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,1,1.711301,NaN,"ops/s",150000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,1,68135680.000000,NaN,"#",150000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,1,1.349638,NaN,"ops/s",200000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,1,91169656.000000,NaN,"#",200000,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,1,0.889727,NaN,"ops/s",259778,true
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,1,117483440.000000,NaN,"#",259778,true
