"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: shouldMeasureMemory"
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,5,11.661079,1.088434,"ops/s",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,5,5.298115,0.244063,"ops/s",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,5,3.689429,0.167723,"ops/s",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,5,2.538059,0.195664,"ops/s",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL","thrpt",1,5,2.054365,0.340953,"ops/s",259778,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilInsert1ComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",259778,false
