"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: shouldMeasureMemory"
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL","thrpt",1,5,2.411644,0.262081,"ops/s",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL","thrpt",1,5,1.171107,0.061041,"ops/s",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL","thrpt",1,5,0.734544,0.090754,"ops/s",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL","thrpt",1,5,0.507520,0.057139,"ops/s",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL","thrpt",1,5,0.418806,0.057473,"ops/s",259778,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitManyRightChildrenComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",259778,false
