"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: shouldMeasureMemory"
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL","thrpt",1,5,13.838214,2.014735,"ops/s",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",50000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL","thrpt",1,5,6.414875,1.215619,"ops/s",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",100000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL","thrpt",1,5,3.871797,0.477656,"ops/s",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",150000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL","thrpt",1,5,2.837963,0.704032,"ops/s",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",200000,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL","thrpt",1,5,2.042088,0.757445,"ops/s",259778,false
"text_rdt.MyTerribleBenchmarkEvilInsert.evilSplitComplexAVL:memory","thrpt",1,5,0.000000,NaN,"#",259778,false
