"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: factoryConstructor","Param: shouldMeasureMemory"
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.777696,NaN,"ops/s",4000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,1232440.000000,NaN,"#",4000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,4.293104,NaN,"ops/s",4000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,647664.000000,NaN,"#",4000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,8.051958,NaN,"ops/s",4000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,1099248.000000,NaN,"#",4000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.216854,NaN,"ops/s",8000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,2475896.000000,NaN,"#",8000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,1.757179,NaN,"ops/s",8000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,1248680.000000,NaN,"#",8000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,9.496270,NaN,"ops/s",8000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,2208144.000000,NaN,"#",8000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.096324,NaN,"ops/s",12000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,3733208.000000,NaN,"#",12000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.710696,NaN,"ops/s",12000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,1843976.000000,NaN,"#",12000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,6.587183,NaN,"ops/s",12000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,3377104.000000,NaN,"#",12000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.053574,NaN,"ops/s",16000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,5007192.000000,NaN,"#",16000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.404451,NaN,"ops/s",16000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,2475304.000000,NaN,"#",16000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,7.824707,NaN,"ops/s",16000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,4465008.000000,NaN,"#",16000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.032616,NaN,"ops/s",20000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,6345624.000000,NaN,"#",20000,simple,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,0.255931,NaN,"ops/s",20000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,3025696.000000,NaN,"#",20000,complex,true
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,1,6.743343,NaN,"ops/s",20000,simpleavl,true
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,1,5708256.000000,NaN,"#",20000,simpleavl,true
