"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count","Param: factoryConstructor","Param: shouldMeasureMemory"
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.997024,0.049376,"ops/s",4000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",4000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,9.610677,0.686364,"ops/s",4000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",4000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,456.191029,39.540636,"ops/s",4000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",4000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.237483,0.011626,"ops/s",8000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",8000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,3.614163,0.331099,"ops/s",8000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",8000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,208.414193,40.439388,"ops/s",8000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",8000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.102342,0.008372,"ops/s",12000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",12000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,1.029125,0.124205,"ops/s",12000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",12000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,134.825249,17.473925,"ops/s",12000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",12000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.056677,0.004806,"ops/s",16000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",16000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.521996,0.060637,"ops/s",16000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",16000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,96.905737,11.713590,"ops/s",16000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",16000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.036006,0.001953,"ops/s",20000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",20000,simple,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,0.314713,0.019412,"ops/s",20000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",20000,complex,false
"text_rdt.MyRealWorldBenchmarkLocal.local","thrpt",1,5,75.167078,8.252688,"ops/s",20000,simpleavl,false
"text_rdt.MyRealWorldBenchmarkLocal.local:memory","thrpt",1,5,0.000000,NaN,"#",20000,simpleavl,false
